78124566	159.36	11/01/2016
1469785402	-45.0	11/01/2016
5647804522	100.0	11/04/2016
1469785402	-22.0	11/08/2016
5647804522	256.0	11/09/2016
1469785402	457.0	11/09/2016
78124566	235.45	11/08/2016
5647804522	75.44	11/13/2016
1469785402	68.0	11/24/2016
5647804522	89.56	11/18/2016
1469785402	5000.0	11/26/2016
5647804522	378.0	11/21/2016
1469785402	-3568.2	11/30/2016
7845780012	10563.0	11/26/2016
78124566	2896.01	11/09/2016
5647804522	900.0	11/28/2016
7845780012	563.0	11/06/2016
78124566	-578.0	11/24/2016
CK8433104	-100.0	11/04/2016
CK8433104	-543.55	11/29/2016
7845780012	75.0	11/15/2016
78124566	-30.0	11/26/2016
78124566	14.0	11/30/2016
7845780012	23.0	11/24/2016
CK8433104	894.15	11/16/2016
378456321	247.33	11/04/2016
378456321	1567.0	11/09/2016
7845780012	700.0	11/19/2016
378456321	-589.56	11/13/2016
378456321	-75.96	11/18/2016
CK8433104	256.44	11/14/2016
378456321	-2453.0	11/21/2016
CK8433104	-320.0	11/21/2016
378456321	798.0	11/28/2016
7845780012	-5500.0	11/30/2016
CK8433104	1798.08	11/28/2016
