1001	85967814E42	1735.00	4/28/1995	1735.00
1002	85967814E42	1735.00	5/28/1995	3470.00
1003	85967814E42	1735.00	6/27/1995	5205.00
1004	85967814E42	1735.00	7/27/1995	6940.00
1005	85967814E42	1735.00	8/26/1995	8675.00
1006	85967814E42	1735.00	9/25/1995	10410.00
1007	85967814E42	1735.00	10/25/1995	12145.00
1008	85967814E42	1735.00	11/24/1995	13880.00
1009	85967814E42	1735.00	12/24/1995	15615.00
1010	85967814E42	1735.00	1/23/1996	17350.00
1011	85967814E42	1735.00	2/22/1996	19085.00
1012	85967814E42	1735.00	3/23/1996	20820.00
1013	85967814E42	1735.00	4/22/1996	22555.00
1014	85967814E42	1735.00	5/22/1996	24290.00
1015	85967814E42	1735.00	6/21/1996	26025.00
1016	85967814E42	1735.00	7/21/1996	27760.00
1017	85967814E42	1735.00	8/20/1996	29495.00
1018	85967814E42	1735.00	9/19/1996	31230.00
1019	85967814E42	1735.00	10/19/1996	32965.00
1020	85967814E42	1735.00	11/18/1996	34700.00
1021	85967814E42	1735.00	12/18/1996	36435.00
1022	85967814E42	1735.00	1/17/1997	38170.00
1023	85967814E42	1735.00	2/16/1997	39905.00
1024	85967814E42	1735.00	3/18/1997	41640.00
1025	85967814E42	1735.00	4/17/1997	43375.00
1026	85967814E42	1735.00	5/17/1997	45110.00
1027	85967814E42	1735.00	6/16/1997	46845.00
1028	85967814E42	1735.00	7/16/1997	48580.00
1029	85967814E42	1735.00	8/15/1997	50315.00
1030	85967814E42	1735.00	9/14/1997	52050.00
1031	85967814E42	1735.00	10/14/1997	53785.00
1032	85967814E42	1735.00	11/13/1997	55520.00
1033	85967814E42	1735.00	12/13/1997	57255.00
1034	85967814E42	1735.00	1/12/1998	58990.00
1035	85967814E42	1735.00	2/11/1998	60725.00
1036	85967814E42	1735.00	3/13/1998	62460.00
1037	85967814E42	1735.00	4/12/1998	64195.00
1038	85967814E42	1735.00	5/12/1998	65930.00
1039	85967814E42	1735.00	6/11/1998	67665.00
1040	85967814E42	1735.00	7/11/1998	69400.00
1041	85967814E42	1735.00	8/10/1998	71135.00
1042	85967814E42	1735.00	9/9/1998	72870.00
1043	85967814E42	1735.00	10/9/1998	74605.00
1044	85967814E42	1735.00	11/8/1998	76340.00
1045	85967814E42	1735.00	12/8/1998	78075.00
1046	85967814E42	1735.00	1/7/1999	79810.00
1047	85967814E42	1735.00	2/6/1999	81545.00
1048	85967814E42	1735.00	3/8/1999	83280.00
1049	85967814E42	1735.00	4/7/1999	85015.00
1050	85967814E42	1735.00	5/7/1999	86750.00
1051	85967814E42	1735.00	6/6/1999	88485.00
1052	85967814E42	1735.00	7/6/1999	90220.00
1053	85967814E42	1735.00	8/5/1999	91955.00
1054	85967814E42	1735.00	9/4/1999	93690.00
1055	85967814E42	1735.00	10/4/1999	95425.00
1056	85967814E42	1735.00	11/3/1999	97160.00
1057	85967814E42	1735.00	12/3/1999	98895.00
1058	85967814E42	1735.00	1/2/2000	100630.00
1059	85967814E42	1735.00	2/1/2000	102365.00
1060	85967814E42	1735.00	3/2/2000	104100.00
1061	85967814E42	1735.00	4/1/2000	105835.00
1062	85967814E42	1735.00	5/1/2000	107570.00
1063	85967814E42	1735.00	5/31/2000	109305.00
1064	85967814E42	1735.00	6/30/2000	111040.00
1065	85967814E42	1735.00	7/30/2000	112775.00
1066	85967814E42	1735.00	8/29/2000	114510.00
1067	85967814E42	1735.00	9/28/2000	116245.00
1068	85967814E42	1735.00	10/28/2000	117980.00
1069	85967814E42	1735.00	11/27/2000	119715.00
1070	85967814E42	1735.00	12/27/2000	121450.00
1071	85967814E42	1735.00	1/26/2001	123185.00
1072	85967814E42	1735.00	2/25/2001	124920.00
1073	85967814E42	1735.00	3/27/2001	126655.00
1074	85967814E42	1735.00	4/26/2001	128390.00
