78124566	159.36	11/1/2016		
1469785402	-45	11/1/2016		
5647804522	100	11/4/2016		
1469785402	-22	11/8/2016		
5647804522	256	11/9/2016		
1469785402	457	11/9/2016		
78124566	235.45	11/8/2016		
5647804522	75.44	11/13/2016		
1469785402	68	11/24/2016		
5647804522	89.56	11/18/2016		
1469785402	5000	11/26/2016		
5647804522	378	11/21/2016		
1469785402	-3568.2	11/30/2016		
7845780012	10563	11/26/2016		
78124566	2896.01	11/9/2016		
5647804522	900	11/28/2016		
7845780012	563	11/6/2016		
78124566	-578	11/24/2016		
CK8433104	-100	11/4/2016		
CK8433104	-543.55	11/29/2016		
7845780012	75	11/15/2016		
78124566	-30	11/26/2016		
78124566	14	11/30/2016		
7845780012	23	11/24/2016		
CK8433104	894.15	11/16/2016		
378456321	247.33	11/4/2016		
378456321	1567	11/9/2016		
7845780012	700	11/19/2016		
378456321	-589.56	11/13/2016		
378456321	-75.96	11/18/2016		
CK8433104	256.44	11/14/2016		
378456321	-2453	11/21/2016		
CK8433104	-320	11/21/2016		
378456321	798	11/28/2016		
7845780012	-5500	11/30/2016		
CK8433104	1798.08	11/28/2016		
